"gene_id","lfc"
"k141_1002072_1_MotA_TolQ_ExbB_proton_channel_famil",0.167601399880357
"k141_1002081_1_KR_domain",-0.146473644216386
"k141_100485_1_Receptor",-2.42768350834074
"k141_1006691_3_Methionine_aminopeptidase",-0.0580851731122098
"k141_1008173_1_PFAM_Peptidase_S24_S26A_S26B__conse",-1.10570205973361
"k141_1008173_2_response_regulator_receiver",-1.57235638564324
"k141_1008173_3_Histidine_kinase",-1.92426091146463
"k141_1008173_4_Iron-sulphur_cluster_biosynthesis",-0.920876566578499
"k141_1008173_7_The_pyruvate_dehydrogenase_complex_",-1.94847905015175
"k141_1008173_8_Pyridine_nucleotide-disulphide_oxid",-1.4407933592995
"k141_1008911_2_stress__protein",-1.07596049876605
"k141_100963_1_dioxygenase_activity",0.334989279915096
"k141_100963_2_-",1.00867852714546
"k141_1013736_1_Catalyzes_the_cleavage_of_glutathio",1.17849699653586
"k141_1018951_3_Major_Facilitator_Superfamily",-0.746654697881971
"k141_1020824_4_Putative__10TM_heavy-metal_exporter",-0.244867137015266
"k141_1022530_1_Belongs_to_the_CDP-alcohol_phosphat",-1.97322326951626
"k141_1022530_2_Involved_in_the_biosynthesis_of_bra",-1.31487157578063
"k141_1022530_3_TIGRFAM_Acetolactate_synthase__smal",-1.00150934926518
"k141_1022530_4_Belongs_to_the_sulfur_carrier_prote",-1.63749975142222
"k141_1022530_5_Functions_as_both_a_chaperone_and_a",-1.52326318678197
"k141_1024469_2_DegT_DnrJ_EryC1_StrS_aminotransfera",0.585287436141215
"k141_102628_1_Catalyzes_the_attachment_of_alanine_",-1.38144572036887
"k141_102628_2_Modulates_RecA_activity",-2.34008956887654
"k141_102628_3_Can_catalyze_the_hydrolysis_of_ATP_i",-0.560551592247072
"k141_102628_4_Belongs_to_the_CinA_family",-1.17393986301107
"k141_102628_5_that_it_carries_out_the_mismatch_rec",-1.76234812152524
"k141_102760_1_COG1028_Dehydrogenases_with_differen",0.418120407833463
"k141_1028307_2_COG0616_Periplasmic_serine_protease",-0.113926829983434
"k141_1028307_3_Catalyzes_the_ADP_transfer_from_ATP",0.679894454709146
"k141_1033379_1_Belongs_to_the_DnaA_family__HdA_sub",-0.311139550955591
"k141_1033379_2_PFAM_CDP-alcohol_phosphatidyltransf",-1.81830614520572
"k141_1033853_1_cellulase_activity",2.83506260253684
"k141_1044316_12_Catalyzes_the_formation_of_S-adeno",0.0591450320058157
"k141_1044316_14_Specifically_methylates_the_N3_pos",-0.422937352890288
"k141_1044316_15_Belongs_to_the_prokaryotic_GSH_syn",-0.810038909928108
